step;volume;A_0;B_0;C;L;p;Compl;Aext;Bext;A_ingresso;A_uscita;B_ingresso;B_uscita;A_netto;B_netto;Avicino;Amedio;Alontano
407;4.18816e-15;71;557;13039;10030;1;2;605;3501;483;134;487;116;349;371;97;91;3
407;4.18816e-15;71;557;13039;10030;1;1;587;3501;503;153;512;144;350;368;97;91;3
408;4.20775e-15;162;1271;12950;10115;1;98;574;3502;290;62;1750;511;228;1239;97;91;3
408;4.20775e-15;132;1265;12949;10102;1;102;542;3502;298;65;1745;479;233;1266;97;88;3
409;4.26162e-15;171;1633;12888;10205;1;182;549;3502;270;88;1731;701;182;1030;97;88;3
409;4.25336e-15;142;1533;12890;10186;1;187;540;3502;251;77;1741;759;174;982;97;88;3
410;4.31891e-15;165;1688;12850;10282;1;262;521;3502;319;67;1833;860;252;973;96;89;3
410;4.30679e-15;151;1645;12864;10262;1;255;510;3502;280;69;1742;804;211;938;96;89;3
411;4.36812e-15;150;1650;12846;10353;1;315;519;3503;241;76;1683;823;165;860;95;88;3
411;4.35532e-15;131;1755;12851;10329;1;319;498;3503;272;66;1767;840;206;927;95;88;3
412;4.41367e-15;150;1659;12843;10431;1;371;519;3503;269;78;1705;849;191;856;95;88;3
412;4.39761e-15;134;1696;12901;10390;1;345;487;3503;285;76;1757;836;209;921;95;88;3
413;4.46389e-15;167;1651;12899;10499;1;389;510;3504;271;70;1808;829;201;979;94;89;3
413;4.43747e-15;129;1716;12943;10454;1;376;482;3504;252;74;1777;838;178;939;94;87;3
414;4.50783e-15;130;1675;12940;10578;1;423;506;3504;263;88;1714;828;175;886;94;88;3
414;4.47874e-15;140;1708;12991;10535;1;398;475;3504;270;79;1804;818;191;986;94;88;3
415;4.55905e-15;147;1708;13013;10634;1;430;490;3505;250;74;1769;841;176;928;94;88;3
415;4.53115e-15;131;1658;13069;10612;1;407;480;3505;254;62;1780;853;192;927;94;88;3
416;4.59483e-15;139;1696;13091;10709;1;449;504;3505;233;72;1801;800;161;1001;94;88;3
416;4.58116e-15;124;1700;13119;10683;1;430;488;3505;217;64;1713;813;153;900;94;88;3
417;4.64442e-15;171;1660;13176;10771;1;450;512;3505;263;66;1741;848;197;893;94;87;3
417;4.62743e-15;121;1616;13175;10772;1;449;503;3505;242;68;1765;841;174;924;94;87;3
418;4.68501e-15;158;1669;13233;10844;1;477;508;3506;248;78;1674;784;170;890;94;87;3
418;4.68566e-15;161;1639;13245;10844;1;459;489;3506;253;88;1828;791;165;1037;94;87;3
419;4.73295e-15;153;1685;13308;10919;1;494;506;3506;278;79;1757;844;199;913;94;87;3
419;4.73295e-15;150;1638;13304;10912;1;475;498;3506;238;76;1749;829;162;920;94;87;3
420;4.78237e-15;149;1706;13370;10973;1;520;509;3507;273;66;1778;894;207;884;93;87;3
420;4.77775e-15;139;1702;13382;10973;1;488;491;3507;256;82;1723;806;174;917;93;87;3
421;4.81806e-15;152;1659;13466;11045;1;518;496;3507;254;81;1767;832;173;935;94;87;3
421;4.81806e-15;138;1712;13457;11037;1;506;479;3507;264;80;1711;846;184;865;94;87;3
422;4.86579e-15;150;1701;13548;11121;1;533;491;3507;240;74;1775;803;166;972;93;87;3
422;4.86048e-15;115;1652;13549;11132;1;507;474;3507;243;62;1772;825;181;947;93;87;3
423;4.91634e-15;135;1696;13634;11196;1;545;501;3508;241;78;1783;846;163;937;93;87;3
423;4.92367e-15;127;1621;13657;11200;1;488;474;3508;236;63;1846;868;173;978;93;87;3
424;4.96639e-15;172;1735;13692;11264;1;569;499;3508;254;66;1768;836;188;932;92;85;3
424;4.96907e-15;151;1640;13749;11265;1;485;492;3508;208;56;1766;804;152;962;92;85;3
425;5.01192e-15;165;1700;13807;11319;1;562;494;3509;250;74;1709;841;176;868;92;85;3
425;5.01259e-15;148;1660;13809;11332;1;507;469;3509;263;74;1757;839;189;918;92;85;3
426;5.04885e-15;145;1707;13915;11398;1;553;471;3509;240;78;1734;847;162;887;91;85;3
426;5.05759e-15;131;1642;13879;11402;1;515;463;3509;238;76;1703;877;162;826;91;85;3
427;5.10205e-15;149;1736;14021;11490;1;547;481;3509;230;77;1723;833;153;890;91;85;3
427;5.10475e-15;152;1698;13917;11475;1;544;471;3509;248;64;1722;803;184;919;91;85;3
