step;volume;A_0;B_0;C;L;p;Compl;Aext;Bext;A_ingresso;A_uscita;B_ingresso;B_uscita;A_netto;B_netto;Avicino;Amedio;Alontano
280;4.18816e-15;140;484;14269;10022;1;1;1488;3432;501;130;474;165;371;309;116;94;1
281;4.20269e-15;358;1225;14046;10114;1;239;1386;3433;743;127;1690;469;616;1221;116;94;1
282;4.26098e-15;385;1468;13879;10196;1;462;1346;3433;732;187;1732;649;545;1083;115;95;1
283;4.31317e-15;340;1543;13800;10266;1;647;1316;3434;638;206;1681;738;432;943;116;95;1
284;4.35788e-15;351;1574;13762;10351;1;811;1284;3435;639;169;1743;766;470;977;117;96;1
285;4.41239e-15;334;1587;13761;10426;1;947;1239;3435;642;188;1735;775;454;960;118;96;1
286;4.46067e-15;349;1538;13825;10519;1;1045;1237;3436;615;178;1767;786;437;981;118;97;1
287;4.52078e-15;342;1493;13938;10586;1;1125;1215;3437;629;188;1846;759;441;1087;118;97;1
288;4.56425e-15;352;1503;14086;10658;1;1176;1189;3438;629;172;1686;814;457;872;118;97;1
289;4.61112e-15;322;1541;14195;10751;1;1249;1195;3438;573;186;1753;776;387;977;118;97;1
290;4.6719e-15;335;1492;14371;10821;1;1293;1176;3439;603;182;1649;745;421;904;117;97;1
291;4.71783e-15;338;1498;14516;10897;1;1351;1115;3440;597;172;1689;715;425;974;118;97;1
292;4.7672e-15;312;1525;14664;10971;1;1405;1126;3440;557;162;1721;728;395;993;118;97;1
293;4.81674e-15;328;1514;14835;11043;1;1450;1092;3441;580;151;1668;748;429;920;118;97;1
294;4.86446e-15;315;1478;15085;11122;1;1450;1124;3442;536;160;1707;734;376;973;118;97;1
295;4.917e-15;307;1560;15305;11195;1;1452;1072;3442;533;160;1707;756;373;951;118;97;1
296;4.96572e-15;325;1548;15565;11286;1;1438;1067;3443;531;149;1728;752;382;976;117;97;1
297;5.02668e-15;294;1522;15769;11353;1;1453;1062;3444;505;163;1698;754;342;944;117;97;1
298;5.07172e-15;286;1501;15959;11430;1;1478;1078;3444;505;130;1718;786;375;932;118;97;1
299;5.12365e-15;318;1440;16147;11511;1;1500;1047;3445;536;148;1729;742;388;987;117;97;1
300;5.17847e-15;290;1449;16338;11586;1;1535;1042;3445;555;142;1695;785;413;910;117;97;1
301;5.2294e-15;272;1437;16605;11649;1;1518;1035;3446;523;134;1768;722;389;1046;117;97;1
302;5.27231e-15;281;1494;16836;11731;1;1511;1055;3447;498;144;1739;726;354;1013;116;97;1
303;5.32833e-15;323;1487;17037;11797;1;1524;1032;3447;494;147;1640;759;347;881;117;97;1
304;5.37357e-15;322;1506;17242;11878;1;1540;1032;3448;500;137;1700;722;363;978;117;97;1
305;5.42927e-15;288;1546;17404;11956;1;1567;1092;3449;473;159;1784;706;314;1078;116;96;1
306;5.48308e-15;296;1538;17606;12049;1;1593;1026;3449;543;148;1726;777;395;949;116;97;1
307;5.54748e-15;291;1493;17789;12118;1;1611;1042;3450;513;148;1640;769;365;871;115;96;1
308;5.59541e-15;279;1501;17995;12176;1;1622;1018;3451;535;140;1673;777;395;896;115;97;1
309;5.63582e-15;296;1457;18198;12244;1;1635;1017;3451;529;140;1645;779;389;866;115;95;1
310;5.68331e-15;288;1558;18370;12341;1;1670;1010;3452;490;151;1756;702;339;1054;115;95;1
311;5.75129e-15;284;1503;18605;12421;1;1658;1008;3452;498;155;1810;744;343;1066;115;96;1
312;5.80756e-15;295;1483;18838;12511;1;1646;1028;3453;490;155;1728;745;335;983;114;95;1
313;5.87108e-15;280;1509;19053;12600;1;1651;1027;3454;517;142;1721;789;375;932;113;95;1
314;5.93412e-15;275;1496;19249;12673;1;1660;1001;3454;493;148;1667;804;345;863;113;95;1
315;5.98599e-15;303;1525;19457;12750;1;1664;1037;3455;510;125;1714;722;385;992;113;94;1
316;6.04087e-15;275;1478;19664;12834;1;1671;1018;3455;503;143;1738;765;360;973;113;94;1
317;6.10094e-15;285;1482;19852;12916;1;1694;1016;3456;515;130;1800;731;385;1069;114;95;1
318;6.15976e-15;292;1442;20066;12980;1;1700;996;3457;469;142;1726;782;327;944;114;95;1
319;6.2058e-15;287;1484;20249;13063;1;1724;1036;3457;452;135;1739;723;317;1016;114;95;1
320;6.26568e-15;301;1537;20401;13141;1;1775;992;3458;495;150;1619;744;345;875;114;96;1
321;6.32213e-15;265;1508;20577;13232;1;1815;1030;3458;509;144;1713;780;365;933;114;95;1
322;6.38821e-15;296;1461;20775;13302;1;1816;1012;3459;530;143;1648;777;387;871;113;96;1
323;6.43919e-15;310;1519;20931;13390;1;1856;1031;3460;520;158;1727;761;362;966;112;96;1
324;6.50347e-15;238;1530;21048;13447;1;1925;1029;3460;530;144;1689;751;386;938;112;96;1
325;6.54522e-15;288;1494;21233;13526;1;1937;1027;3461;508;132;1763;736;376;1027;111;96;1
326;6.60323e-15;271;1536;21435;13619;1;1947;1007;3461;500;149;1742;747;351;995;111;95;1
327;6.67175e-15;269;1498;21649;13700;1;1947;1007;3462;499;131;1755;812;368;943;112;96;1
