step;A_0;B_0;C;L;p;Compl;Aext;Bext;A_ingresso;A_uscita;B_ingresso;B_uscita
93;964;975;960;9359;1;369;2020;2011;92375;47229;92060;44908
94;958;969;989;9367;1;386;2020;2011;93382;47701;93066;45397
95;971;990;1032;9379;1;388;2020;2011;94427;48151;94080;45891
96;939;980;1049;9388;1;412;2021;2011;95391;48638;95068;46344
97;937;960;1071;9395;1;436;2021;2012;96350;49124;96051;46822
98;963;874;1106;9403;1;458;2021;2012;97355;49561;97092;47296
99;977;987;1162;9413;1;459;2021;2012;98392;50062;98185;47749
100;934;946;1201;9419;1;483;2022;2012;99361;50551;99168;48240
101;947;973;1240;9427;1;507;2022;2012;100356;51005;100163;48717
102;932;938;1273;9434;1;530;2022;2012;101359;51514;101188;49193
103;957;922;1337;9442;1;536;2023;2013;102355;52018;102210;49646
104;940;970;1389;9453;1;556;2023;2013;103388;52492;103231;50132
105;976;915;1449;9459;1;572;2023;2013;104424;52953;104288;50596
106;965;915;1482;9470;1;611;2023;2013;105426;53416;105265;51054
107;971;920;1527;9490;1;633;2024;2013;106416;53882;106258;51511
108;935;934;1606;9495;1;648;2024;2014;107405;54375;107273;51952
109;941;932;1693;9509;1;651;2024;2014;108455;54833;108227;52401
110;946;939;1771;9523;1;662;2025;2014;109498;55241;109238;52884
111;901;914;1838;9535;1;684;2025;2014;110484;55702;110247;53371
112;926;931;1908;9546;1;699;2025;2014;111527;56141;111205;53834
113;903;904;1976;9562;1;716;2025;2014;112526;56616;112214;54291
114;916;936;2039;9574;1;731;2026;2015;113587;57085;113241;54732
115;901;922;2093;9585;1;763;2026;2015;114578;57525;114257;55215
116;874;903;2128;9609;1;801;2026;2015;115619;57984;115218;55680
117;937;911;2180;9625;1;834;2027;2015;116615;58412;116249;56128
118;852;971;2233;9635;1;871;2027;2015;117612;58880;117269;56565
119;804;919;2337;9651;1;867;2027;2016;118605;59339;118252;57077
120;874;897;2433;9668;1;871;2027;2016;119558;59767;119266;57515
121;835;875;2492;9686;1;918;2028;2016;120535;60218;120285;57946
122;888;874;2556;9693;1;949;2028;2016;121558;60665;121290;58406
123;908;904;2602;9712;1;994;2028;2016;122560;61078;122280;58851
124;799;864;2707;9727;1;1009;2028;2016;123610;61566;123270;59289
125;821;928;2803;9741;1;1025;2029;2017;124617;62004;124256;59736
126;831;880;2864;9759;1;1070;2029;2017;125662;62434;125240;60188
127;821;920;2973;9779;1;1096;2029;2017;126702;62848;126209;60623
128;807;911;3071;9804;1;1122;2030;2017;127658;63303;127177;61036
129;821;951;3133;9824;1;1168;2030;2017;128671;63718;128184;61490
130;790;848;3232;9840;1;1200;2030;2018;129714;64141;129160;61952
131;862;852;3324;9861;1;1234;2030;2018;130734;64512;130202;62391
132;855;887;3420;9884;1;1267;2031;2018;131719;64942;131247;62805
133;836;845;3506;9908;1;1313;2031;2018;132765;65389;132280;63259
134;839;879;3579;9940;1;1371;2031;2018;133806;65786;133287;63662
135;841;880;3711;9952;1;1388;2032;2018;134782;66198;134277;64101
136;852;853;3843;9977;1;1423;2032;2019;135863;66612;135278;64525
137;846;870;3929;9994;1;1495;2032;2019;136880;67041;136267;64960
138;848;899;4039;10011;1;1536;2032;2019;137901;67487;137282;65401
139;806;863;4126;10036;1;1601;2033;2019;138945;67930;138292;65831
140;811;838;4241;10061;1;1644;2033;2019;139975;68330;139323;66258
141;827;867;4418;10088;1;1652;2033;2020;140955;68729;140389;66707
142;802;843;4542;10111;1;1700;2033;2020;142022;69124;141398;67137
143;767;871;4658;10135;1;1757;2034;2020;143031;69518;142322;67551
144;768;813;4798;10159;1;1795;2034;2020;144127;69906;143284;68002
145;796;811;4978;10183;1;1809;2034;2020;145168;70295;144315;68447
146;832;804;5133;10212;1;1851;2035;2020;146132;70680;145336;68858
147;804;833;5250;10242;1;1914;2035;2021;147098;71112;146321;69253
148;807;768;5368;10278;1;1983;2035;2021;148119;71499;147371;69678
149;794;784;5466;10310;1;2077;2035;2021;149165;71894;148443;70061
150;762;832;5604;10334;1;2142;2036;2021;150222;72301;149469;70459
