step;volume;A_0;B_0;C;L;p;Compl;Aext;Bext;A_ingresso;A_uscita;B_ingresso;B_uscita;A_netto;B_netto;Avicino;Amedio;Alontano
532;4.18816e-15;42;586;10856;10024;1;3;283;3545;523;135;515;146;388;369;70;68;5
532;4.18816e-15;42;586;10856;10024;1;1;265;3545;496;150;472;149;346;323;70;68;5
533;4.20395e-15;88;1377;10822;10088;1;38;274;3545;129;30;1732;479;99;1253;69;68;5
533;4.20395e-15;64;1293;10830;10079;1;30;262;3545;117;30;1770;513;87;1257;69;68;5
534;4.24448e-15;84;1581;10792;10148;1;79;261;3546;134;49;1751;717;85;1034;69;68;5
534;4.23877e-15;73;1529;10807;10150;1;66;256;3546;143;42;1817;744;101;1073;69;68;5
535;4.28259e-15;73;1646;10777;10228;1;110;271;3546;110;49;1802;820;61;982;69;68;5
535;4.28387e-15;75;1694;10774;10214;1;105;261;3546;126;40;1835;777;86;1058;69;68;5
536;4.33359e-15;87;1738;10785;10290;1;130;293;3546;125;34;1834;806;91;1028;69;68;5
536;4.32465e-15;60;1818;10772;10284;1;135;277;3546;130;34;1761;903;96;858;69;68;5
537;4.37325e-15;95;1784;10791;10356;1;153;289;3546;153;37;1782;870;116;912;68;68;5
537;4.3694e-15;76;1818;10776;10326;1;162;277;3546;147;50;1761;855;97;906;68;68;5
538;4.4156e-15;108;1800;10795;10417;1;173;288;3547;138;43;1830;858;95;972;68;68;5
538;4.39633e-15;91;1752;10796;10383;1;180;280;3547;128;31;1684;884;97;800;68;68;5
539;4.45486e-15;90;1777;10797;10472;1;202;268;3547;165;35;1776;909;130;867;68;67;6
539;4.43296e-15;94;1659;10820;10447;1;194;264;3547;145;53;1759;807;92;952;68;67;6
540;4.49036e-15;83;1786;10823;10534;1;219;276;3547;140;54;1743;855;86;888;68;67;6
540;4.47422e-15;97;1700;10847;10498;1;212;261;3547;151;48;1822;865;103;957;68;67;6
541;4.5305e-15;79;1786;10861;10595;1;227;284;3548;133;33;1697;870;100;827;68;66;6
541;4.50718e-15;97;1771;10874;10583;1;227;279;3548;139;44;1728;849;95;879;68;66;6
542;4.5701e-15;89;1720;10893;10656;1;242;261;3548;137;44;1793;893;93;900;68;67;6
542;4.5623e-15;74;1687;10907;10651;1;241;258;3548;107;47;1749;871;60;878;68;67;6
543;4.60982e-15;92;1803;10919;10711;1;255;273;3548;131;43;1813;833;88;980;68;66;6
543;4.60656e-15;86;1704;10972;10704;1;231;264;3548;115;36;1793;838;79;955;68;66;6
