step;volume;A_0;B_0;C;L;p;Compl;Aext;Bext;A_ingresso;A_uscita;B_ingresso;B_uscita;A_netto;B_netto;Avicino;Amedio;Alontano
564;4.18816e-15;36;626;9224;10015;1;1;1.07374e+08;-2.14748e+09;523;141;481;149;382;332;64;63;6
564;4.18816e-15;39;615;9045;10021;1;0;1.07374e+08;-2.14748e+09;477;150;520;126;327;394;64;63;6
564;4.18816e-15;36;626;9224;10015;1;1;1.07374e+08;-2.14748e+09;490;135;500;158;355;342;64;63;6
565;4.19826e-15;36;626;9224;10015;1;1;2.10574e+08;-2.06399e+09;0;0;-1;0;0;-1;64;62;6
565;4.20206e-15;39;615;9045;10021;1;0;2.10574e+08;-2.06399e+09;0;0;-1;0;0;-1;64;62;6
565;4.19826e-15;36;625;9224;10015;1;1;2.10574e+08;-2.06399e+09;0;0;-1;0;0;-1;64;62;6
566;4.19826e-15;36;625;9224;10015;1;1;3.09788e+08;-1.98428e+09;0;0;-1;0;0;-1;64;63;6
566;4.20142e-15;39;611;9045;10021;1;0;3.09788e+08;-1.98428e+09;0;0;-1;0;0;-1;64;63;6
566;4.19826e-15;36;624;9224;10015;1;1;3.09788e+08;-1.98428e+09;0;0;-1;0;0;-1;64;63;6
567;4.19826e-15;36;625;9224;10015;1;1;4.05197e+08;-1.90817e+09;0;0;-1;0;0;-1;239;238;6
567;4.20206e-15;39;609;9045;10021;1;0;4.05197e+08;-1.90817e+09;2;0;-1;0;2;-1;239;238;6
567;4.19826e-15;36;623;9224;10015;1;1;4.05197e+08;-1.90817e+09;0;0;-1;0;0;-1;239;238;6
568;4.19826e-15;36;624;9224;10015;1;1;4.96971e+08;-1.83548e+09;0;0;-1;0;0;-1;913;913;6
568;4.20142e-15;40;606;9045;10021;1;0;4.96971e+08;-1.83548e+09;0;0;-1;0;0;-1;913;913;6
568;4.19826e-15;36;623;9224;10015;1;1;4.96971e+08;-1.83548e+09;0;0;-1;0;0;-1;913;913;6
569;4.19826e-15;36;624;9224;10015;1;1;5.85273e+08;-1.76604e+09;0;0;-1;0;0;-1;2534;2533;6
569;4.20206e-15;40;605;9045;10021;1;0;5.85273e+08;-1.76604e+09;0;0;-1;0;0;-1;2534;2533;6
569;4.19826e-15;37;622;9224;10015;1;1;5.85273e+08;-1.76604e+09;0;0;-1;0;0;-1;2534;2533;6
570;4.19826e-15;39;622;9224;10015;1;1;6.70258e+08;-1.69969e+09;1;0;-1;0;1;-1;5648;5647;6
570;4.20142e-15;40;603;9045;10021;1;0;6.70258e+08;-1.69969e+09;1;0;-1;0;1;-1;5648;5647;6
570;4.19826e-15;37;620;9224;10015;1;1;6.70258e+08;-1.69969e+09;0;0;-1;0;0;-1;5648;5647;6
571;4.19826e-15;39;622;9224;10015;1;1;7.52072e+08;-1.63627e+09;0;0;-1;0;0;-1;10888;10887;6
571;4.20206e-15;41;602;9045;10021;1;0;7.52072e+08;-1.63627e+09;1;0;-1;0;1;-1;10888;10887;6
571;4.19826e-15;38;620;9224;10015;1;1;7.52072e+08;-1.63627e+09;0;0;-1;0;0;-1;10888;10887;6
572;4.19826e-15;40;622;9224;10015;1;1;8.30855e+08;-1.57565e+09;0;0;-1;0;0;-1;18951;18950;6
572;4.20142e-15;41;602;9045;10021;1;0;8.30855e+08;-1.57565e+09;0;0;-1;0;0;-1;18951;18950;6
572;4.19826e-15;38;620;9224;10015;1;1;8.30855e+08;-1.57565e+09;0;0;-1;0;0;-1;18951;18950;6
573;4.19826e-15;40;617;9224;10015;1;1;9.06739e+08;-1.51768e+09;2;0;-1;0;2;-1;30582;30581;6
573;4.20206e-15;41;602;9045;10021;1;0;9.06739e+08;-1.51768e+09;0;0;-1;0;0;-1;30582;30581;6
573;4.19826e-15;38;620;9224;10015;1;1;9.06739e+08;-1.51768e+09;1;0;-1;0;1;-1;30582;30581;6
574;4.19826e-15;40;617;9224;10015;1;1;9.79851e+08;-1.46224e+09;1;0;-1;0;1;-1;46565;46564;6
574;4.20142e-15;42;601;9045;10021;1;0;9.79851e+08;-1.46224e+09;0;0;-1;0;0;-1;46565;46564;6
574;4.19826e-15;38;617;9224;10015;1;1;9.79851e+08;-1.46224e+09;2;0;-1;0;2;-1;46565;46564;6
575;4.19826e-15;43;617;9224;10015;1;1;1.05031e+09;-1.40921e+09;2;0;-1;0;2;-1;67707;67706;6
575;4.20206e-15;42;601;9045;10021;1;0;1.05031e+09;-1.40921e+09;0;0;-1;0;0;-1;67707;67706;6
575;4.19826e-15;38;617;9224;10015;1;1;1.05031e+09;-1.40921e+09;0;0;-1;0;0;-1;67707;67706;6
576;4.19826e-15;44;616;9224;10015;1;1;1.11824e+09;-1.35846e+09;1;0;-1;0;1;-1;94830;94828;6
576;4.20142e-15;42;601;9045;10021;1;0;1.11824e+09;-1.35846e+09;0;0;-1;0;0;-1;94830;94828;6
576;4.19826e-15;39;617;9224;10015;1;1;1.11824e+09;-1.35846e+09;0;0;-1;0;0;-1;94830;94828;6
577;4.19826e-15;45;616;9224;10015;1;1;1.18373e+09;-1.30989e+09;0;0;-1;0;0;-1;128760;128758;6
577;4.20206e-15;42;599;9045;10021;1;0;1.18373e+09;-1.30989e+09;0;0;-1;0;0;-1;128760;128758;6
577;4.19826e-15;39;617;9224;10015;1;1;1.18373e+09;-1.30989e+09;0;0;-1;0;0;-1;128760;128758;6
578;4.19826e-15;47;614;9224;10015;1;1;1.2469e+09;-1.2634e+09;0;0;-1;0;0;-1;170321;170319;6
578;4.20142e-15;43;597;9045;10021;1;0;1.2469e+09;-1.2634e+09;0;0;-1;0;0;-1;170321;170319;6
578;4.19826e-15;40;613;9224;10015;1;1;1.2469e+09;-1.2634e+09;2;0;-1;0;2;-1;170321;170319;6
579;4.19826e-15;47;614;9224;10015;1;1;1.30785e+09;-1.21888e+09;2;0;-1;0;2;-1;220327;220326;6
579;4.20206e-15;43;597;9045;10021;1;0;1.30785e+09;-1.21888e+09;0;0;-1;0;0;-1;220327;220326;6
579;4.19826e-15;41;613;9224;10015;1;1;1.30785e+09;-1.21888e+09;1;0;-1;0;1;-1;220327;220326;6
580;4.19826e-15;49;611;9224;10015;1;1;1.36666e+09;-1.17625e+09;2;0;-1;0;2;-1;279577;279575;6
580;4.20142e-15;47;594;9045;10021;1;0;1.36666e+09;-1.17625e+09;7;0;-1;0;7;-1;279577;279575;6
580;4.19826e-15;41;613;9224;10015;1;1;1.36666e+09;-1.17625e+09;0;0;-1;0;0;-1;279577;279575;6
581;4.19826e-15;49;609;9224;10015;1;1;1.42343e+09;-1.13541e+09;4;0;-1;0;4;-1;348848;348846;6
581;4.20206e-15;49;590;9045;10021;1;0;1.42343e+09;-1.13541e+09;4;0;-1;0;4;-1;348848;348846;6
581;4.19826e-15;47;610;9224;10015;1;1;1.42343e+09;-1.13541e+09;2;0;-1;0;2;-1;348848;348846;6
582;4.19826e-15;51;609;9224;10015;1;1;1.47824e+09;-1.09627e+09;0;0;-1;0;0;-1;428893;428891;6
582;4.20142e-15;49;590;9045;10021;1;0;1.47824e+09;-1.09627e+09;0;0;-1;0;0;-1;428893;428891;6
582;4.19826e-15;47;609;9224;10015;1;1;1.47824e+09;-1.09627e+09;0;0;-1;0;0;-1;428893;428891;6
583;4.19826e-15;52;608;9224;10015;1;1;1.53118e+09;-1.05877e+09;1;0;-1;0;1;-1;520437;520436;6
583;4.20206e-15;54;589;9045;10021;1;0;1.53118e+09;-1.05877e+09;5;0;-1;0;5;-1;520437;520436;6
583;4.19826e-15;47;609;9224;10015;1;1;1.53118e+09;-1.05877e+09;0;0;-1;0;0;-1;520437;520436;6
584;4.19826e-15;55;608;9224;10015;1;1;1.58232e+09;-1.02281e+09;4;0;-1;0;4;-1;624174;624173;6
584;4.20142e-15;54;589;9045;10021;1;0;1.58232e+09;-1.02281e+09;2;0;-1;0;2;-1;624174;624173;6
584;4.19826e-15;50;606;9224;10015;1;1;1.58232e+09;-1.02281e+09;1;0;-1;0;1;-1;624174;624173;6
585;4.19826e-15;56;608;9224;10015;1;1;1.63174e+09;-9.88342e+08;0;0;-1;0;0;-1;740763;740762;6
585;4.20206e-15;55;589;9045;10021;1;0;1.63174e+09;-9.88342e+08;2;0;-1;0;2;-1;740763;740762;6
585;4.19826e-15;50;606;9224;10015;1;1;1.63174e+09;-9.88342e+08;0;0;-1;0;0;-1;740763;740762;6
586;4.19826e-15;59;605;9224;10015;1;1;1.6795e+09;-9.5528e+08;2;0;-1;0;2;-1;870830;870828;6
586;4.20142e-15;58;589;9045;10021;1;0;1.6795e+09;-9.5528e+08;3;0;-1;0;3;-1;870830;870828;6
586;4.19826e-15;50;606;9224;10015;1;1;1.6795e+09;-9.5528e+08;0;0;-1;0;0;-1;870830;870828;6
587;4.19826e-15;61;605;9224;10015;1;1;1.72568e+09;-9.23566e+08;1;0;-1;0;1;-1;1014962;1014960;6
587;4.20206e-15;58;589;9045;10021;1;0;1.72568e+09;-9.23566e+08;1;0;-1;0;1;-1;1014962;1014960;6
587;4.19826e-15;55;603;9224;10015;1;1;1.72568e+09;-9.23566e+08;13;0;-1;0;13;-1;1014962;1014960;6
588;4.19826e-15;61;604;9224;10015;1;1;1.77034e+09;-8.93136e+08;0;0;-1;0;0;-1;1173709;1173707;6
588;4.20142e-15;59;589;9045;10021;1;0;1.77034e+09;-8.93136e+08;1;0;-1;0;1;-1;1173709;1173707;6
588;4.19826e-15;55;603;9224;10015;1;1;1.77034e+09;-8.93136e+08;1;0;-1;0;1;-1;1173709;1173707;6
589;4.19826e-15;61;604;9224;10015;1;1;1.81354e+09;-8.63933e+08;0;0;-1;0;0;-1;1347583;1347581;6
589;4.20206e-15;61;588;9045;10021;1;0;1.81354e+09;-8.63933e+08;1;0;-1;0;1;-1;1347583;1347581;6
589;4.19826e-15;59;599;9224;10015;1;1;1.81354e+09;-8.63933e+08;7;0;-1;0;7;-1;1347583;1347581;6
590;4.19826e-15;63;602;9224;10015;1;1;1.85533e+09;-8.359e+08;6;0;-1;0;6;-1;1537058;1537056;6
590;4.20142e-15;67;584;9045;10021;1;0;1.85533e+09;-8.359e+08;3;0;-1;0;3;-1;1537058;1537056;6
590;4.19826e-15;59;599;9224;10015;1;1;1.85533e+09;-8.359e+08;0;0;-1;0;0;-1;1537058;1537056;6
591;4.19826e-15;64;602;9224;10015;1;1;1.89578e+09;-8.08984e+08;1;0;-1;0;1;-1;1742568;1742566;6
591;4.20206e-15;67;584;9045;10021;1;0;1.89578e+09;-8.08984e+08;0;0;-1;0;0;-1;1742568;1742566;6
591;4.19826e-15;59;597;9224;10015;1;1;1.89578e+09;-8.08984e+08;3;0;-1;0;3;-1;1742568;1742566;6
592;4.19826e-15;76;599;9224;10015;1;1;1.93494e+09;-7.83135e+08;13;0;-1;0;13;-1;1964509;1964508;6
592;4.20142e-15;68;583;9045;10021;1;0;1.93494e+09;-7.83135e+08;2;0;-1;0;2;-1;1964509;1964508;6
592;4.19826e-15;59;597;9224;10015;1;1;1.93494e+09;-7.83135e+08;0;0;-1;0;0;-1;1964509;1964508;6
593;4.19826e-15;92;597;9224;10015;1;1;1.97285e+09;-7.58305e+08;9;0;-1;0;9;-1;2203240;2203238;6
593;4.20206e-15;69;583;9045;10021;1;0;1.97285e+09;-7.58305e+08;3;0;-1;0;3;-1;2203240;2203238;6
593;4.19826e-15;59;596;9224;10015;1;1;1.97285e+09;-7.58305e+08;2;0;-1;0;2;-1;2203240;2203238;6
594;4.19826e-15;94;597;9224;10015;1;1;2.00958e+09;-7.34449e+08;1;0;-1;0;1;-1;2459079;2459077;6
594;4.20142e-15;72;583;9045;10021;1;0;2.00958e+09;-7.34449e+08;1;0;-1;0;1;-1;2459079;2459077;6
594;4.19826e-15;64;594;9224;10015;1;1;2.00958e+09;-7.34449e+08;5;0;-1;0;5;-1;2459079;2459077;6
595;4.19826e-15;96;597;9224;10015;1;1;2.04515e+09;-7.11523e+08;1;0;-1;0;1;-1;2732311;2732309;6
595;4.20206e-15;72;582;9045;10021;1;0;2.04515e+09;-7.11523e+08;0;0;-1;0;0;-1;2732311;2732309;6
595;4.19826e-15;68;594;9224;10015;1;1;2.04515e+09;-7.11523e+08;3;0;-1;0;3;-1;2732311;2732309;6
596;4.19826e-15;96;597;9224;10015;1;1;2.07963e+09;-6.89486e+08;0;0;-1;0;0;-1;3023183;3023181;7
596;4.20142e-15;73;581;9045;10021;1;0;2.07963e+09;-6.89486e+08;1;0;-1;0;1;-1;3023183;3023181;7
596;4.19826e-15;71;593;9224;10015;1;1;2.07963e+09;-6.89486e+08;0;0;-1;0;0;-1;3023183;3023181;7
597;4.19826e-15;97;596;9224;10015;1;1;2.11304e+09;-6.68298e+08;1;0;-1;0;1;-1;3331907;3331905;7
597;4.20206e-15;74;580;9045;10021;1;0;2.11304e+09;-6.68298e+08;3;0;-1;0;3;-1;3331907;3331905;7
597;4.19826e-15;74;593;9224;10015;1;1;2.11304e+09;-6.68298e+08;7;0;-1;0;7;-1;3331907;3331905;7
598;4.19826e-15;99;594;9224;10015;1;1;2.14544e+09;-6.47923e+08;10;0;-1;0;10;-1;3658661;3658659;7
598;4.20142e-15;75;579;9045;10021;1;0;2.14544e+09;-6.47923e+08;1;0;-1;0;1;-1;3658661;3658659;7
598;4.19826e-15;76;591;9224;10015;1;1;2.14544e+09;-6.47923e+08;2;0;-1;0;2;-1;3658661;3658659;7
599;4.19826e-15;100;593;9224;10015;1;1;-2.14748e+09;-6.28325e+08;0;0;-1;0;0;-1;4003589;4003587;7
599;4.20206e-15;77;579;9045;10021;1;0;-2.14748e+09;-6.28325e+08;1;0;-1;0;1;-1;4003589;4003587;7
599;4.19826e-15;85;588;9224;10015;1;1;-2.14748e+09;-6.28325e+08;9;0;-1;0;9;-1;4003589;4003587;7
600;4.19826e-15;100;593;9224;10015;1;1;-2.14748e+09;-6.0947e+08;-1;0;0;0;-1;0;4366806;4366804;7
600;4.20142e-15;77;579;9045;10021;1;0;-2.14748e+09;-6.0947e+08;0;0;-1;0;0;-1;4366806;4366804;7
600;4.19826e-15;85;588;9224;10015;1;1;-2.14748e+09;-6.0947e+08;-1;0;0;0;-1;0;4366806;4366804;7
601;4.19826e-15;98;591;9224;10015;1;1;-2.14748e+09;-5.91326e+08;-1;0;0;0;-1;0;4748392;4748390;7
601;4.20206e-15;77;579;9045;10021;1;0;-2.14748e+09;-5.91326e+08;0;0;-1;0;0;-1;4748392;4748390;7
601;4.19826e-15;84;586;9224;10015;1;1;-2.14748e+09;-5.91326e+08;-1;0;0;0;-1;0;4748392;4748390;7
602;4.19826e-15;94;589;9224;10015;1;1;-2.14748e+09;-5.73862e+08;-1;0;0;0;-1;0;5148402;5148400;7
602;4.20142e-15;77;579;9045;10021;1;0;-2.14748e+09;-5.73862e+08;0;0;-1;0;0;-1;5148402;5148400;7
602;4.19826e-15;83;586;9224;10015;1;1;-2.14748e+09;-5.73862e+08;-1;0;0;0;-1;0;5148402;5148400;7
603;4.19826e-15;94;589;9224;10015;1;1;-2.14748e+09;-5.57049e+08;-1;0;0;0;-1;0;5566860;5566858;8
603;4.20206e-15;77;579;9045;10021;1;0;-2.14748e+09;-5.57049e+08;0;0;-1;0;0;-1;5566860;5566858;8
603;4.19826e-15;83;586;9224;10015;1;1;-2.14748e+09;-5.57049e+08;0;0;-1;0;0;-1;5566860;5566858;8
604;4.19826e-15;90;587;9224;10015;1;1;-2.14748e+09;-5.40859e+08;-1;0;0;0;-1;0;6003764;6003762;8
604;4.20142e-15;74;579;9045;10021;1;0;-2.14748e+09;-5.40859e+08;-1;0;0;0;-1;0;6003764;6003762;8
604;4.19826e-15;82;586;9224;10015;1;1;-2.14748e+09;-5.40859e+08;-1;0;0;0;-1;0;6003764;6003762;8
605;4.19826e-15;88;587;9224;10015;1;1;-2.14748e+09;-5.25265e+08;-1;0;0;0;-1;0;6459086;6459085;8
605;4.20206e-15;74;579;9045;10021;1;0;-2.14748e+09;-5.25265e+08;-1;0;0;0;-1;0;6459086;6459085;8
605;4.19826e-15;81;585;9224;10015;1;1;-2.14748e+09;-5.25265e+08;-1;0;0;0;-1;0;6459086;6459085;8
606;4.19826e-15;88;586;9224;10015;1;1;-2.14748e+09;-5.10244e+08;-1;0;0;0;-1;0;6932775;6932773;9
606;4.20142e-15;74;579;9045;10021;1;0;-2.14748e+09;-5.10244e+08;-1;0;0;0;-1;0;6932775;6932773;9
606;4.19826e-15;80;585;9224;10015;1;1;-2.14748e+09;-5.10244e+08;-1;0;0;0;-1;0;6932775;6932773;9
607;4.19826e-15;88;586;9224;10015;1;1;-2.14748e+09;-4.95769e+08;-1;0;0;0;-1;0;7424755;7424753;9
607;4.20206e-15;74;578;9045;10021;1;0;-2.14748e+09;-4.95769e+08;-1;0;0;0;-1;0;7424755;7424753;9
607;4.19826e-15;77;583;9224;10015;1;1;-2.14748e+09;-4.95769e+08;-1;0;0;0;-1;0;7424755;7424753;9
608;4.19826e-15;87;586;9224;10015;1;1;-2.14748e+09;-4.81819e+08;-1;0;0;0;-1;0;7934928;7934927;10
608;4.20142e-15;74;578;9045;10021;1;0;-2.14748e+09;-4.81819e+08;0;0;-1;0;0;-1;7934928;7934927;10
608;4.19826e-15;77;583;9224;10015;1;1;-2.14748e+09;-4.81819e+08;-1;0;0;0;-1;0;7934928;7934927;10
609;4.19826e-15;87;585;9224;10015;1;1;-2.14748e+09;-4.68371e+08;0;0;-1;0;0;-1;8463179;8463177;11
