step;volume;A_0;B_0;C;L;p;Compl;Aext;Bext;A_ingresso;A_uscita;B_ingresso;B_uscita;A_netto;B_netto;Avicino;Amedio;Alontano
372;4.18816e-15;95;522;15753;10045;1;0;1038;3485;495;145;480;129;350;351;102;95;2
373;4.2166e-15;245;1282;15595;10150;1;162;1013;3486;505;69;1752;477;436;1275;102;95;2
374;4.28323e-15;272;1523;15450;10234;1;348;999;3486;530;116;1745;726;414;1019;102;95;2
375;4.33678e-15;281;1593;15315;10308;1;541;968;3487;480;147;1714;760;333;954;101;95;2
376;4.38414e-15;236;1646;15295;10385;1;676;957;3487;481;145;1710;754;336;956;101;95;2
377;4.43361e-15;282;1647;15359;10474;1;750;871;3488;473;108;1749;805;365;944;100;94;2
378;4.49101e-15;262;1619;15427;10542;1;828;899;3488;458;115;1690;795;343;895;101;95;2
379;4.53504e-15;228;1502;15508;10636;1;903;887;3489;385;144;1817;829;241;988;101;95;2
380;4.59613e-15;248;1544;15576;10715;1;972;852;3489;474;99;1722;785;375;937;101;95;2
381;4.64834e-15;225;1610;15714;10795;1;1007;856;3490;413;140;1777;780;273;997;101;94;2
382;4.70009e-15;236;1585;15875;10864;1;1028;849;3490;407;116;1760;845;291;915;101;94;2
383;4.74545e-15;229;1567;16027;10964;1;1060;836;3491;460;118;1757;764;342;993;101;93;2
384;4.81145e-15;236;1511;16192;11044;1;1065;847;3491;373;98;1740;782;275;958;101;93;2
385;4.86446e-15;212;1513;16387;11138;1;1055;812;3491;410;130;1710;739;280;971;101;93;2
386;4.927e-15;221;1573;16567;11202;1;1055;819;3492;402;106;1752;757;296;995;101;93;3
387;4.96974e-15;249;1634;16683;11268;1;1082;819;3492;416;109;1717;787;307;930;102;93;3
388;5.01393e-15;223;1664;16793;11356;1;1126;828;3493;415;114;1709;786;301;923;102;93;3
389;5.07307e-15;233;1534;16987;11428;1;1116;803;3493;421;109;1744;804;312;940;102;93;3
390;5.12162e-15;246;1590;17166;11514;1;1120;816;3494;408;99;1700;751;309;949;102;92;3
391;5.17982e-15;216;1562;17345;11594;1;1112;813;3494;358;118;1765;795;240;970;101;92;3
392;5.23416e-15;231;1610;17498;11671;1;1129;811;3495;406;99;1774;801;307;973;101;91;3
393;5.28664e-15;234;1516;17635;11758;1;1163;790;3495;424;95;1710;810;329;900;101;91;3
394;5.34614e-15;211;1536;17785;11844;1;1184;788;3496;401;120;1769;752;281;1017;100;91;3
395;5.40518e-15;232;1533;17929;11924;1;1210;788;3496;389;100;1864;736;289;1128;100;89;3
396;5.46029e-15;238;1595;18108;12005;1;1212;741;3496;420;116;1717;755;304;962;99;89;3
397;5.51629e-15;251;1537;18280;12069;1;1207;799;3497;366;108;1752;791;258;961;99;90;3
398;5.56066e-15;217;1488;18426;12162;1;1232;780;3497;393;125;1711;807;268;904;99;90;3
