step;volume;A_0;B_0;C;L;p;Compl;Aext;Bext;A_ingresso;A_uscita;B_ingresso;B_uscita;A_netto;B_netto;Avicino;Amedio;Alontano
401;4.18816e-15;80;564;13184;10038;1;0;787;3499;482;128;449;132;354;317;98;90;3
401;4.18816e-15;80;564;13184;10038;1;0;755;3499;512;149;485;142;363;343;98;90;3
402;4.21217e-15;184;1310;13071;10100;1;125;744;3499;391;77;1858;488;314;1370;98;90;3
402;4.21217e-15;212;1304;13071;10120;1;119;689;3499;381;72;1763;486;309;1277;98;88;3
403;4.25146e-15;195;1571;12976;10169;1;250;722;3499;363;94;1777;699;269;1078;98;89;3
403;4.26416e-15;192;1475;12968;10200;1;250;695;3499;339;105;1778;771;234;1007;98;89;3
404;4.29596e-15;173;1722;12946;10245;1;336;718;3500;339;115;1647;835;224;812;98;90;3
404;4.31508e-15;198;1647;12922;10279;1;349;667;3500;347;96;1772;771;251;1001;98;90;3
405;4.34381e-15;193;1686;12958;10314;1;398;703;3500;383;109;1752;832;274;920;98;90;3
405;4.36556e-15;165;1675;12937;10350;1;425;678;3500;317;109;1764;824;208;940;98;90;3
406;4.38799e-15;184;1654;12972;10392;1;471;693;3501;346;97;1681;805;249;876;98;91;3
406;4.4111e-15;170;1733;12979;10433;1;473;644;3501;349;93;1768;852;256;916;98;91;3
407;4.43811e-15;197;1731;13000;10450;1;522;682;3501;361;112;1771;826;249;945;97;91;3
407;4.46454e-15;169;1706;13031;10514;1;511;635;3501;317;90;1839;884;227;955;97;91;3
408;4.47551e-15;195;1682;13036;10513;1;566;641;3502;329;103;1822;860;226;962;97;91;3
408;4.51689e-15;195;1681;13117;10578;1;527;606;3502;316;91;1750;859;225;891;97;91;3
409;4.51624e-15;190;1588;13113;10591;1;601;611;3502;299;89;1740;853;210;887;97;89;3
409;4.5584e-15;199;1669;13180;10657;1;555;578;3502;308;99;1717;820;209;897;97;89;3
410;4.56685e-15;187;1699;13211;10654;1;615;554;3502;322;82;1704;805;240;899;96;89;3
410;4.60982e-15;170;1697;13217;10737;1;603;533;3502;285;78;1671;835;207;836;96;89;3
411;4.60786e-15;174;1660;13302;10727;1;635;578;3503;312;94;1776;813;218;963;95;90;3
411;4.66208e-15;162;1616;13325;10814;1;607;557;3503;255;79;1790;869;176;921;95;90;3
412;4.65554e-15;156;1629;13424;10808;1;641;558;3503;264;88;1723;865;176;858;95;89;3
412;4.71257e-15;149;1671;13445;10873;1;599;540;3503;259;78;1686;830;181;856;95;88;3
413;4.70863e-15;173;1549;13496;10866;1;666;560;3504;256;80;1734;821;176;913;94;89;3
413;4.75138e-15;141;1662;13560;10946;1;602;540;3504;266;61;1719;829;205;890;94;89;3
414;4.74677e-15;185;1620;13617;10936;1;656;551;3504;317;81;1713;791;236;922;94;88;3
414;4.79955e-15;152;1674;13649;11026;1;608;523;3504;298;84;1730;863;214;867;94;88;3
415;4.79294e-15;161;1666;13727;10994;1;657;437;3405;284;82;1692;864;202;828;95;88;3
415;4.85252e-15;146;1702;13736;11102;1;610;409;3405;257;74;1787;832;183;955;95;88;3
416;4.8313e-15;124;1596;13859;11056;1;646;526;3505;187;74;1753;824;113;929;94;89;3
416;4.90302e-15;116;1686;13845;11164;1;605;518;3505;212;63;1708;803;149;905;94;89;3
417;4.87243e-15;163;1583;13956;11131;1;651;559;3505;267;91;1743;797;176;946;94;89;3
417;4.94435e-15;154;1711;13982;11241;1;584;531;3505;248;69;1817;838;179;979;94;89;3
418;4.92234e-15;162;1602;14075;11210;1;653;556;3506;255;88;1856;765;167;1091;94;88;3
418;4.99584e-15;174;1671;14056;11318;1;595;536;3506;250;72;1798;855;178;943;94;87;3
419;4.97509e-15;137;1659;14156;11278;1;675;544;3506;252;73;1824;780;179;1044;94;88;3
419;5.0475e-15;144;1754;14160;11382;1;598;525;3506;292;83;1664;835;209;829;94;87;3
420;5.02064e-15;147;1668;14259;11339;1;670;561;3507;276;78;1785;823;198;962;93;88;3
420;5.09058e-15;150;1638;14322;11460;1;569;540;3507;286;80;1816;877;206;939;93;88;3
421;5.06163e-15;151;1692;14366;11409;1;664;555;3507;277;78;1798;804;199;994;94;87;3
421;5.14325e-15;183;1641;14373;11527;1;597;525;3507;263;83;1694;828;180;866;94;87;3
422;5.1088e-15;174;1684;14467;11489;1;671;510;3507;285;66;1703;826;219;877;93;87;3
422;5.18864e-15;172;1604;14440;11610;1;621;500;3507;275;76;1725;848;199;877;93;87;3
423;5.16288e-15;153;1647;14595;11569;1;664;548;3508;250;78;1755;834;172;921;93;87;3
423;5.24505e-15;145;1654;14517;11685;1;644;519;3508;269;78;1759;871;191;888;93;87;3
424;5.21716e-15;158;1628;14719;11631;1;654;545;3508;275;67;1684;804;208;880;92;87;3
424;5.2962e-15;138;1682;14611;11752;1;649;516;3508;263;85;1729;801;178;928;92;87;3
425;5.25935e-15;166;1633;14829;11687;1;656;528;3509;281;78;1783;821;203;962;92;85;3
425;5.34203e-15;156;1696;14702;11820;1;655;519;3509;257;80;1728;809;177;919;92;85;3
426;5.29756e-15;151;1625;14937;11757;1;656;529;3509;276;86;1743;847;190;896;91;86;3
426;5.38868e-15;149;1665;14779;11884;1;671;479;3509;271;70;1850;800;201;1050;91;85;3
427;5.34546e-15;150;1671;15031;11821;1;668;516;3509;275;87;1790;857;188;933;91;85;3
427;5.43271e-15;141;1782;14861;11959;1;682;496;3509;241;63;1740;829;178;911;91;85;3
428;5.38937e-15;153;1737;15132;11891;1;666;526;3510;238;74;1728;862;164;866;91;86;3
428;5.48446e-15;121;1692;15006;12020;1;654;511;3510;227;80;1782;867;147;915;91;84;3
429;5.43754e-15;149;1612;15243;11956;1;663;528;3510;293;73;1783;869;220;914;90;85;3
429;5.52668e-15;142;1652;15066;12094;1;671;519;3510;238;58;1781;862;180;919;90;85;3
430;5.48239e-15;181;1663;15321;12016;1;675;546;3511;255;73;1716;798;182;918;90;85;3
430;5.57803e-15;171;1578;15188;12168;1;652;508;3511;211;75;1717;814;136;903;90;84;3
431;5.5239e-15;164;1668;15396;12076;1;698;545;3511;307;75;1753;834;232;919;91;85;3
431;5.62954e-15;176;1633;15243;12232;1;677;510;3511;259;86;1756;800;173;956;91;84;3
432;5.56552e-15;158;1622;15482;12141;1;721;536;3511;266;80;1783;819;186;964;91;83;3
432;5.67422e-15;161;1727;15339;12308;1;686;508;3511;252;74;1778;848;178;930;91;83;3
433;5.61073e-15;170;1627;15607;12211;1;718;543;3512;272;69;1794;804;203;990;91;84;3
433;5.72743e-15;155;1733;15430;12377;1;696;517;3512;250;74;1767;849;176;918;91;84;3
434;5.65955e-15;138;1626;15702;12284;1;724;517;3512;258;80;1819;861;178;958;91;82;3
434;5.77588e-15;154;1658;15541;12450;1;697;507;3512;265;77;1802;901;188;901;91;82;3
435;5.71061e-15;150;1582;15788;12344;1;740;545;3513;277;74;1764;803;203;961;90;83;4
435;5.82729e-15;165;1719;15645;12503;1;693;517;3513;244;89;1680;843;155;837;90;83;4
436;5.75269e-15;161;1696;15907;12422;1;731;546;3513;242;88;1793;799;154;994;89;82;4
436;5.86471e-15;151;1681;15738;12557;1;699;527;3513;276;81;1780;837;195;943;89;82;4
437;5.80756e-15;158;1583;15962;12491;1;766;549;3513;270;80;1735;832;190;903;89;82;4
437;5.90292e-15;149;1703;15786;12621;1;726;518;3513;270;72;1764;821;198;943;89;82;4
438;5.85623e-15;179;1671;16065;12560;1;761;535;3514;246;83;1689;805;163;884;90;82;4
438;5.94831e-15;140;1602;15895;12685;1;717;517;3514;242;79;1735;870;163;865;90;82;4
439;5.90505e-15;171;1640;16176;12636;1;769;543;3514;262;87;1724;840;175;884;89;83;4
439;5.99382e-15;160;1681;15993;12744;1;714;522;3514;250;73;1748;837;177;911;89;83;4
440;5.95897e-15;168;1641;16278;12703;1;770;529;3514;284;82;1749;856;202;893;90;83;4
440;6.03588e-15;173;1711;16079;12804;1;727;492;3514;270;68;1736;796;202;940;90;82;4
441;6.00664e-15;175;1595;16356;12778;1;784;526;3515;272;76;1796;847;196;949;90;83;4
441;6.07875e-15;162;1621;16184;12870;1;724;498;3515;257;85;1873;907;172;966;90;83;4
442;6.06016e-15;156;1559;16455;12863;1;784;528;3515;286;86;1691;789;200;902;90;83;4
442;6.12602e-15;140;1633;16264;12929;1;740;494;3515;226;71;1839;820;155;1019;90;82;4
443;6.121e-15;146;1624;16533;12933;1;797;534;3516;252;80;1749;808;172;941;90;83;4
443;6.16838e-15;145;1629;16366;13008;1;735;506;3516;242;83;1751;850;159;901;90;83;4
444;6.17126e-15;150;1660;16632;12999;1;806;544;3516;257;86;1725;864;171;861;89;83;4
444;6.22526e-15;144;1658;16452;13071;1;745;515;3516;269;73;1754;811;196;943;89;83;4
445;6.21877e-15;150;1612;16764;13074;1;795;518;3516;290;75;1738;801;215;937;89;82;4
445;6.27074e-15;148;1756;16550;13134;1;750;482;3516;248;82;1838;812;166;1026;89;82;4
446;6.27291e-15;137;1661;16853;13124;1;807;541;3517;251;74;1717;746;177;971;89;83;4
446;6.31634e-15;144;1657;16654;13188;1;741;512;3517;233;68;1673;879;165;794;89;82;4
447;6.30909e-15;148;1757;16934;13192;1;814;535;3517;274;85;1789;802;189;987;88;83;4
447;6.3555e-15;158;1700;16739;13252;1;751;501;3517;243;66;1752;812;177;940;88;82;4
448;6.35841e-15;173;1695;17085;13261;1;784;547;3517;272;80;1764;857;192;907;89;83;4
448;6.40203e-15;145;1638;16822;13308;1;758;527;3517;267;72;1828;807;195;1021;89;81;4
449;6.40858e-15;164;1653;17219;13321;1;768;503;3518;272;91;1777;861;181;916;88;81;4
449;6.44283e-15;158;1663;16917;13367;1;766;483;3518;297;84;1736;848;213;888;88;81;4
450;6.45232e-15;174;1632;17306;13378;1;774;546;3518;271;74;1755;833;197;922;87;82;4
450;6.48592e-15;142;1605;17046;13418;1;748;521;3518;255;77;1798;838;178;960;87;82;4
451;6.49396e-15;156;1645;17373;13442;1;799;538;3519;276;92;1765;859;184;906;87;81;4
451;6.52323e-15;144;1578;17133;13488;1;759;518;3519;260;80;1756;800;180;956;87;79;4
452;6.54082e-15;171;1617;17449;13499;1;813;541;3519;247;82;1695;811;165;884;86;80;4
452;6.57457e-15;158;1658;17203;13552;1;778;513;3519;249;86;1759;819;163;940;86;80;4
453;6.58265e-15;150;1634;17554;13564;1;822;533;3519;261;92;1817;779;169;1038;85;79;4
453;6.62163e-15;159;1690;17319;13628;1;768;516;3519;248;81;1763;811;167;952;85;79;4
454;6.63046e-15;185;1648;17650;13628;1;819;508;3520;245;79;1747;819;166;928;85;80;4
454;6.67765e-15;151;1632;17416;13687;1;766;492;3520;256;96;1751;846;160;905;85;79;4
455;6.67765e-15;144;1663;17765;13695;1;812;548;3520;271;97;1745;816;174;929;85;80;4
455;6.72125e-15;155;1593;17524;13750;1;752;522;3520;235;68;1755;797;167;958;85;80;4
456;6.72717e-15;150;1723;17850;13759;1;828;560;3520;281;73;1694;873;208;821;85;80;4
456;6.76792e-15;148;1666;17607;13817;1;763;543;3520;259;74;1734;813;185;921;85;79;4
457;6.77459e-15;183;1741;17917;13837;1;844;541;3521;294;82;1752;860;212;892;86;80;4
457;6.81766e-15;157;1612;17692;13867;1;778;533;3521;246;80;1757;838;166;919;86;79;4
458;6.83253e-15;156;1765;18010;13916;1;858;468;3421;300;84;1776;847;216;929;86;80;4
458;6.85486e-15;150;1652;17775;13928;1;797;541;3521;236;77;1793;801;159;992;86;79;4
459;6.89138e-15;146;1678;18068;13986;1;882;563;3521;247;77;1722;824;170;898;84;80;4
459;6.90034e-15;137;1571;17871;13999;1;801;529;3521;263;77;1714;875;186;839;84;79;4
460;6.94367e-15;178;1596;18189;14058;1;871;550;3522;275;81;1775;866;194;909;83;80;4
460;6.95339e-15;161;1660;17951;14064;1;811;533;3522;257;80;1763;777;177;986;83;79;4
461;6.99759e-15;165;1649;18306;14126;1;869;559;3522;301;91;1777;766;210;1011;83;80;4
461;7.00209e-15;165;1643;18039;14130;1;830;530;3522;260;81;1771;849;179;922;83;79;4
462;7.04864e-15;165;1608;18423;14187;1;862;444;3423;290;81;1697;828;209;869;84;80;4
462;7.05165e-15;160;1682;18150;14188;1;820;435;3423;264;87;1833;836;177;997;84;80;4
463;7.09454e-15;144;1654;18547;14242;1;843;556;3523;211;76;1660;775;135;885;83;80;4
463;7.0953e-15;135;1595;18231;14253;1;826;525;3523;224;69;1662;827;155;835;83;80;4
464;7.13602e-15;153;1650;18650;14305;1;838;516;3523;293;72;1740;826;221;914;82;79;4
464;7.14432e-15;159;1595;18319;14304;1;832;497;3523;280;75;1743;848;205;895;82;79;4
465;7.18362e-15;157;1631;18716;14371;1;860;562;3524;244;72;1764;803;172;961;82;80;4
465;7.18286e-15;151;1660;18431;14367;1;826;530;3524;262;84;1753;863;178;890;82;80;4
466;7.23361e-15;165;1726;18785;14430;1;887;542;3524;287;79;1801;818;208;983;82;80;4
466;7.23057e-15;152;1674;18555;14443;1;807;514;3524;273;80;1732;815;193;917;82;80;4
467;7.27839e-15;152;1636;18902;14515;1;874;555;3524;273;81;1750;872;192;878;81;79;4
467;7.28827e-15;158;1714;18647;14493;1;805;524;3524;284;80;1765;832;204;933;81;79;4
468;7.34307e-15;163;1570;19013;14572;1;864;495;3525;261;81;1763;844;180;919;81;78;4
468;7.32631e-15;172;1609;18740;14546;1;812;486;3525;258;85;1752;845;173;907;81;78;4
469;7.38655e-15;160;1705;19063;14639;1;894;552;3525;234;84;1769;823;150;946;82;78;4
469;7.3667e-15;153;1640;18821;14606;1;821;524;3525;232;89;1816;847;143;969;82;78;4
470;7.43776e-15;170;1714;19167;14706;1;891;551;3525;334;84;1675;847;250;828;82;78;4
470;7.41252e-15;153;1778;18898;14663;1;835;523;3525;265;74;1754;797;191;957;82;77;4
471;7.4891e-15;160;1663;19262;14763;1;898;544;3526;250;89;1819;860;161;959;82;78;4
471;7.45614e-15;185;1670;19009;14721;1;831;518;3526;267;83;1712;858;184;854;82;78;4
472;7.53286e-15;174;1583;19395;14821;1;873;514;3526;282;92;1810;867;190;943;81;78;4
472;7.50061e-15;196;1689;19084;14787;1;850;495;3526;274;79;1816;820;195;996;81;77;4
473;7.57749e-15;156;1619;19489;14895;1;876;540;3526;264;72;1831;801;192;1030;81;78;4
473;7.55132e-15;154;1694;19168;14867;1;859;511;3526;262;84;1756;855;178;901;81;78;4
474;7.63455e-15;166;1643;19579;14967;1;887;547;3527;248;83;1736;822;165;914;82;78;4
474;7.61294e-15;169;1684;19269;14930;1;853;529;3527;252;90;1742;865;162;877;82;78;4
475;7.6902e-15;167;1700;19671;15040;1;896;541;3527;291;80;1629;812;211;817;81;78;4
475;7.66158e-15;162;1711;19362;14982;1;861;521;3527;244;68;1692;870;176;822;81;78;4
476;7.74677e-15;169;1704;19752;15112;1;908;547;3527;281;74;1776;870;207;906;81;78;4
476;7.70181e-15;158;1660;19482;15033;1;852;508;3527;296;77;1775;831;219;944;81;78;4
477;7.80269e-15;166;1716;19890;15176;1;886;541;3528;295;87;1751;869;208;882;81;78;4
