step;volume;A_0;B_0;C;L;p;Compl;Aext;Bext;A_ingresso;A_uscita;B_ingresso;B_uscita;A_netto;B_netto;Avicino;Amedio;Alontano
276;4.18816e-15;160;482;14015;10001;1;0;1590;3429;520;134;503;129;386;374;115;93;1
277;4.18942e-15;375;1250;13800;10089;1;228;1556;3430;769;161;1726;462;608;1264;115;94;1
278;4.24448e-15;414;1450;13612;10164;1;472;1471;3431;781;198;1740;711;583;1029;115;94;1
279;4.29278e-15;419;1588;13484;10244;1;703;1447;3431;803;220;1740;790;583;950;115;95;1
280;4.34381e-15;421;1539;13475;10331;1;866;1463;3432;714;214;1730;791;500;939;116;94;1
281;4.39954e-15;416;1512;13508;10414;1;1009;1416;3433;702;223;1769;779;479;990;116;94;1
282;4.45293e-15;422;1563;13607;10497;1;1105;1400;3433;671;209;1710;771;462;939;115;95;1
283;4.50589e-15;389;1517;13712;10578;1;1206;1338;3434;712;222;1754;755;490;999;116;95;1
284;4.55905e-15;386;1500;13862;10652;1;1274;1308;3435;691;203;1705;739;488;966;117;96;1
285;4.60656e-15;360;1563;13981;10728;1;1359;1285;3435;606;169;1709;726;437;983;118;96;1
286;4.65619e-15;366;1492;14149;10802;1;1417;1282;3436;691;185;1686;745;506;941;118;97;1
287;4.70469e-15;379;1471;14340;10876;1;1461;1190;3437;680;175;1785;754;505;1031;118;97;1
288;4.75401e-15;316;1499;14473;10952;1;1541;1168;3438;604;175;1731;777;429;954;118;97;1
289;4.80417e-15;316;1559;14706;11025;1;1554;1149;3438;565;162;1750;691;403;1059;118;97;1
290;4.85252e-15;307;1515;14939;11094;1;1566;1132;3439;605;154;1698;727;451;971;117;97;1
291;4.89836e-15;327;1477;15155;11173;1;1582;1183;3440;586;159;1709;753;427;956;118;97;1
292;4.95102e-15;324;1523;15336;11233;1;1622;1105;3440;594;166;1706;700;428;1006;118;97;1
293;4.99115e-15;302;1442;15607;11311;1;1603;1133;3441;573;167;1694;798;406;896;118;97;1
294;5.04347e-15;330;1425;15857;11391;1;1587;1082;3442;551;160;1676;731;391;945;118;97;1
295;5.09733e-15;306;1476;15990;11453;1;1658;1133;3442;578;140;1714;720;438;994;118;97;1
296;5.1392e-15;303;1458;16213;11539;1;1670;1127;3443;543;162;1724;712;381;1012;117;97;1
297;5.19746e-15;316;1500;16451;11624;1;1672;1100;3444;543;144;1734;708;399;1026;117;97;1
298;5.25527e-15;292;1404;16678;11701;1;1680;1117;3444;551;181;1725;739;370;986;118;97;1
