step;volume;A_0;B_0;C;L;p;Compl;Aext;Bext;A_ingresso;A_uscita;B_ingresso;B_uscita;A_netto;B_netto;Avicino;Amedio;Alontano
545;4.18816e-15;31;563;10398;10016;1;6;251;3549;435;126;496;134;309;362;69;67;6
545;4.18816e-15;31;563;10398;10016;1;0;232;3549;540;143;480;134;397;346;69;67;6
546;4.1989e-15;70;1374;10372;10061;1;35;227;3549;125;28;1790;498;97;1292;68;67;6
546;4.1989e-15;75;1325;10363;10081;1;36;222;3549;119;23;1775;539;96;1236;68;67;6
547;4.22737e-15;64;1710;10346;10130;1;65;230;3549;127;49;1792;768;78;1024;68;67;6
547;4.24004e-15;71;1632;10344;10143;1;65;226;3549;117;48;1716;771;69;945;68;67;6
548;4.27115e-15;61;1827;10356;10190;1;77;233;3550;105;29;1839;862;76;977;69;67;6
548;4.27941e-15;71;1653;10344;10207;1;83;229;3550;112;37;1812;873;75;939;69;67;6
549;4.30934e-15;86;1731;10355;10242;1;92;261;3550;120;29;1780;888;91;892;68;68;6
549;4.32018e-15;75;1747;10353;10272;1;97;257;3550;102;30;1838;818;72;1020;68;68;6
550;4.34253e-15;76;1777;10334;10314;1;126;239;3550;118;37;1807;872;81;935;68;66;6
550;4.36172e-15;71;1765;10342;10316;1;127;234;3550;136;28;1763;887;108;876;68;66;6
551;4.38863e-15;72;1743;10342;10371;1;144;238;3550;127;28;1795;901;99;894;68;66;6
551;4.38992e-15;78;1815;10354;10379;1;135;234;3550;111;41;1745;842;70;903;68;66;6
552;4.42524e-15;87;1730;10365;10421;1;153;248;3551;117;27;1772;893;90;879;67;66;6
552;4.43039e-15;57;1792;10360;10439;1;154;245;3551;113;41;1789;887;72;902;67;66;6
553;4.45744e-15;80;1823;10377;10482;1;172;266;3551;148;39;1769;885;109;884;67;66;6
553;4.46905e-15;77;1799;10380;10500;1;164;261;3551;119;27;1842;901;92;941;67;66;6
554;4.49683e-15;86;1810;10400;10555;1;181;245;3551;135;37;1742;854;98;888;67;65;6
554;4.50783e-15;71;1689;10380;10570;1;188;241;3551;121;41;1804;913;80;891;67;65;6
555;4.54412e-15;81;1843;10419;10602;1;197;254;3551;114;54;1691;845;60;846;67;65;6
555;4.55386e-15;76;1721;10410;10629;1;193;250;3551;117;40;1773;857;77;916;67;65;6
556;4.57465e-15;76;1777;10443;10661;1;208;251;3552;120;43;1818;879;77;939;67;65;6
556;4.59222e-15;71;1701;10439;10685;1;201;247;3552;118;38;1832;857;80;975;67;65;6
557;4.61243e-15;99;1746;10498;10720;1;200;266;3552;142;34;1691;838;108;853;67;64;6
557;4.62874e-15;81;1739;10479;10751;1;198;256;3552;116;37;1746;850;79;896;67;64;6
558;4.65161e-15;81;1801;10524;10769;1;207;259;3552;145;59;1852;879;86;973;66;64;6
558;4.6719e-15;84;1733;10507;10822;1;205;252;3552;121;42;1791;879;79;912;66;64;6
559;4.6837e-15;89;1787;10550;10819;1;218;284;3553;145;46;1755;902;99;853;66;65;6
