id;step;volume;A_0;B_0;C;L;p;Aext;Bext;Compl;A_uscita;A_ingresso;B_uscita;B_ingresso;A_netto;B_netto;Avicino;Amedio;Alontano;
0-0;785;4.561e-15;16;181;192;10583;1;51;382;14;14;16;97;165;2;68;51;377;22;
0-0;786;4.56165e-15;22;206;193;10584;1;45;383;14;12;27;86;196;15;110;45;377;22;
0-0;787;4.5623e-15;18;201;193;10584;1;51;383;14;12;16;100;171;4;71;51;377;22;
0-0;788;4.5623e-15;15;200;193;10584;1;45;383;14;9;24;84;183;15;99;45;377;22;
0-0;789;4.5623e-15;19;200;195;10585;1;39;383;13;6;22;94;183;16;89;39;377;22;
0-0;790;4.56295e-15;18;209;194;10587;1;47;383;14;10;12;85;190;2;105;47;378;22;
0-0;791;4.56425e-15;25;218;196;10588;1;42;383;13;14;28;100;175;14;75;42;378;22;
0-0;792;4.5649e-15;23;174;195;10588;1;52;383;14;10;10;97;171;0;74;52;378;22;
0-0;793;4.5649e-15;30;187;195;10589;1;45;383;14;13;30;92;182;17;90;45;378;22;
0-0;794;4.56555e-15;28;194;198;10589;1;45;383;13;14;23;99;173;9;74;45;378;22;
0-0;795;4.56555e-15;31;211;198;10589;1;45;384;13;9;19;81;181;10;100;45;378;22;
0-0;796;4.56555e-15;33;200;197;10591;1;44;384;14;12;24;85;174;12;89;44;378;22;
0-0;797;4.56685e-15;27;213;197;10591;1;44;384;14;13;22;88;198;9;110;44;378;22;
0-0;798;4.56685e-15;26;207;197;10591;1;43;384;14;10;21;81;164;11;83;43;379;22;
0-0;799;4.56685e-15;22;207;199;10591;1;52;384;13;18;19;101;170;1;69;52;379;22;
0-0;800;4.56685e-15;29;227;199;10592;1;47;384;13;8;22;85;158;14;73;47;379;22;
0-0;801;4.5675e-15;24;197;201;10594;1;53;384;12;18;22;99;159;4;60;53;379;22;
0-0;802;4.5688e-15;24;185;201;10595;1;56;384;12;8;14;87;182;6;95;56;379;22;
0-0;803;4.56945e-15;14;183;201;10598;1;60;385;12;16;22;100;164;6;64;60;379;22;
0-0;804;4.5714e-15;23;205;203;10598;1;50;385;11;11;31;96;149;20;53;50;379;22;
0-0;805;4.5714e-15;26;200;202;10599;1;50;385;12;12;21;92;204;9;112;50;380;23;
0-0;806;4.57205e-15;22;171;204;10600;1;40;385;11;11;32;101;165;21;64;40;380;23;
0-0;807;4.5727e-15;15;184;204;10600;1;40;385;11;9;18;87;187;9;100;40;380;23;
0-0;808;4.5727e-15;24;157;204;10603;1;42;385;11;12;20;93;172;8;79;42;380;23;
0-0;809;4.57465e-15;20;189;204;10603;1;43;385;11;11;20;85;181;9;96;43;380;23;
0-0;810;4.57465e-15;21;197;204;10604;1;44;385;11;10;19;91;177;9;86;44;380;23;
0-0;811;4.5753e-15;30;187;204;10604;1;32;385;11;9;31;79;168;22;89;32;380;23;
0-0;812;4.5753e-15;24;176;204;10606;1;39;386;11;16;19;82;190;3;108;39;380;23;
0-0;813;4.5766e-15;20;194;204;10608;1;47;386;11;12;14;71;169;2;98;47;381;23;
0-0;814;4.5779e-15;18;187;204;10608;1;47;386;11;10;20;86;177;10;91;47;381;23;
0-0;815;4.5779e-15;24;175;204;10608;1;36;386;11;9;29;89;182;20;93;36;381;23;
0-0;816;4.5779e-15;15;205;204;10608;1;47;386;11;10;9;71;165;-1;94;47;381;23;
0-0;817;4.5779e-15;26;196;206;10610;1;45;386;10;11;23;86;175;12;89;45;381;23;
0-0;818;4.57921e-15;25;191;206;10611;1;41;386;10;12;26;68;175;14;107;41;381;23;
0-0;819;4.57986e-15;30;196;206;10611;1;32;386;10;5;23;95;183;18;88;32;381;23;
0-0;820;4.57986e-15;25;194;206;10612;1;42;386;10;10;11;75;195;1;120;42;381;23;
0-0;821;4.58051e-15;25;205;206;10615;1;47;387;10;19;24;82;188;5;106;47;382;23;
0-0;822;4.58246e-15;24;196;206;10615;1;44;387;10;8;20;93;169;12;76;44;382;23;
0-0;823;4.58246e-15;17;197;206;10617;1;53;387;10;11;13;91;163;2;72;53;382;23;
0-0;824;4.58376e-15;18;215;206;10617;1;46;387;10;11;27;76;195;16;119;46;382;23;
0-0;825;4.58376e-15;23;185;206;10618;1;46;387;10;8;18;103;199;10;96;46;382;23;
0-0;826;4.58441e-15;32;215;206;10619;1;41;387;10;6;21;88;191;15;103;41;382;23;
0-0;827;4.58506e-15;21;196;206;10619;1;46;387;10;15;20;84;178;5;94;46;382;23;
0-0;828;4.58506e-15;26;202;206;10619;1;36;387;10;10;29;99;159;19;60;36;382;23;
0-0;829;4.58506e-15;17;213;208;10622;1;38;387;9;12;21;92;184;9;92;38;383;23;
0-0;830;4.58701e-15;19;216;208;10623;1;38;388;9;9;19;86;174;10;88;38;383;23;
0-0;831;4.58767e-15;16;209;208;10624;1;36;388;9;11;23;99;205;12;106;36;383;24;
0-0;832;4.58832e-15;17;196;207;10626;1;42;388;10;10;14;83;176;4;93;42;383;24;
0-0;833;4.58962e-15;18;188;207;10627;1;35;388;10;7;24;75;162;17;87;35;383;24;
0-0;834;4.59027e-15;22;193;207;10627;1;33;388;10;5;17;79;171;12;92;33;383;24;
0-0;835;4.59027e-15;18;190;207;10627;1;44;388;10;13;11;79;157;-2;78;44;383;24;
0-0;836;4.59027e-15;26;182;207;10628;1;32;388;10;8;30;93;190;22;97;32;383;24;
0-0;837;4.59092e-15;30;180;207;10629;1;42;388;10;7;7;98;182;0;84;42;384;24;
0-0;838;4.59157e-15;23;190;207;10630;1;51;388;10;18;19;93;176;1;83;51;384;24;
0-0;839;4.59222e-15;21;201;207;10631;1;44;389;10;13;30;78;152;17;74;44;384;24;
0-0;840;4.59287e-15;15;186;207;10633;1;45;389;10;11;20;102;170;9;68;45;384;24;
0-0;841;4.59418e-15;24;190;207;10633;1;48;389;10;15;22;88;202;7;114;48;384;24;
0-0;842;4.59418e-15;26;201;206;10634;1;50;389;11;13;21;86;168;8;82;50;384;24;
0-0;843;4.59483e-15;23;191;206;10636;1;54;389;11;11;17;89;211;6;122;54;384;24;
0-0;844;4.59613e-15;18;173;206;10637;1;47;389;11;9;26;100;166;17;66;47;384;24;
0-0;845;4.59678e-15;26;177;206;10638;1;43;389;11;6;19;80;174;13;94;43;385;24;
0-0;846;4.59743e-15;11;183;206;10638;1;41;389;11;8;20;80;181;12;101;41;385;24;
0-0;847;4.59743e-15;14;179;205;10638;1;38;389;12;3;16;72;169;13;97;38;385;24;
0-0;848;4.59743e-15;7;171;205;10640;1;44;390;12;10;14;85;194;4;109;44;385;24;
0-0;849;4.59874e-15;12;188;205;10640;1;34;390;12;6;26;83;172;20;89;34;385;24;
0-0;850;4.59874e-15;9;199;206;10640;1;33;390;12;6;17;83;191;11;108;33;385;24;
0-0;851;4.59874e-15;13;209;206;10644;1;39;390;12;6;12;98;191;6;93;39;385;24;
0-0;852;4.60134e-15;12;198;204;10644;1;40;390;14;12;21;103;184;9;81;40;385;24;
0-0;853;4.60134e-15;7;195;204;10645;1;35;390;14;6;22;100;196;16;96;35;386;24;
0-0;854;4.602e-15;11;202;203;10646;1;28;390;15;2;19;101;175;17;74;28;386;24;
0-0;855;4.60265e-15;13;178;205;10647;1;27;390;14;2;13;93;152;11;59;27;386;24;
0-0;856;4.6033e-15;13;196;204;10649;1;38;390;15;9;9;76;196;0;120;38;386;24;
0-0;857;4.6046e-15;15;189;206;10649;1;37;390;14;6;17;87;190;11;103;37;386;24;
0-0;858;4.6046e-15;21;182;206;10652;1;40;391;14;8;15;95;171;7;76;40;386;25;
0-0;859;4.60656e-15;19;195;206;10655;1;41;391;14;8;17;93;173;9;80;41;386;25;
0-0;860;4.60851e-15;18;197;206;10655;1;41;391;14;9;19;88;184;10;96;41;386;25;
0-0;861;4.60851e-15;21;187;206;10658;1;49;391;14;11;14;82;181;3;99;49;386;25;
0-0;862;4.61047e-15;14;217;206;10659;1;43;391;14;7;24;70;185;17;115;43;387;25;
0-0;863;4.61112e-15;16;219;208;10659;1;46;391;13;6;12;78;208;6;130;46;387;25;
0-0;864;4.61112e-15;22;208;208;10662;1;41;391;13;8;23;109;199;15;90;41;387;25;
0-0;865;4.61308e-15;23;173;208;10664;1;52;391;13;10;9;126;162;-1;36;52;387;25;
0-0;866;4.61438e-15;25;193;208;10664;1;45;391;13;9;26;65;171;17;106;45;387;25;
0-0;867;4.61438e-15;25;192;208;10664;1;44;391;13;9;20;77;166;11;89;44;387;25;
0-0;868;4.61438e-15;20;211;207;10665;1;48;392;14;11;16;88;191;5;103;48;387;25;
0-0;869;4.61504e-15;22;203;207;10665;1;46;392;14;10;22;95;179;12;84;46;387;25;
