step;volume;A_0;B_0;C;L;p;Compl;Aext;Bext;A_ingresso;A_uscita;B_ingresso;B_uscita;A_netto;B_netto;Avicino;Amedio;Alontano
480;4.18816e-15;48;596;12662;10013;1;0;495;3529;517;142;512;129;375;383;81;76;4
481;4.197e-15;116;1258;12599;10078;1;65;450;3529;248;55;1789;528;193;1261;81;76;4
482;4.23814e-15;122;1540;12546;10144;1;131;468;3529;196;73;1772;701;123;1071;80;77;4
483;4.28005e-15;115;1719;12504;10225;1;194;438;3530;240;64;1747;769;176;978;80;76;4
484;4.33167e-15;133;1692;12500;10296;1;240;455;3530;209;59;1741;879;150;862;80;76;5
485;4.37709e-15;140;1762;12497;10363;1;290;454;3530;225;67;1802;873;158;929;79;76;5
486;4.4201e-15;145;1774;12537;10445;1;312;435;3531;241;67;1874;861;174;1013;79;75;5
487;4.47292e-15;117;1740;12568;10514;1;336;451;3531;219;70;1737;915;149;822;79;75;5
488;4.51754e-15;113;1707;12571;10580;1;385;453;3531;212;63;1772;821;149;951;80;75;5
489;4.56035e-15;133;1695;12626;10647;1;394;444;3532;241;65;1754;822;176;932;79;74;5
490;4.60395e-15;130;1677;12674;10721;1;413;453;3532;236;56;1709;876;180;833;79;74;5
491;4.65227e-15;135;1671;12736;10800;1;436;448;3532;207;64;1829;846;143;983;79;74;5
492;4.70338e-15;125;1664;12807;10887;1;444;412;3533;215;76;1764;854;139;910;78;74;5
493;4.76126e-15;103;1628;12836;10960;1;482;432;3533;196;55;1753;845;141;908;78;73;5
494;4.80946e-15;112;1671;12933;11024;1;470;431;3533;218;53;1862;829;165;1033;78;73;5
495;4.85185e-15;120;1633;13006;11103;1;478;429;3534;226;58;1668;819;168;849;78;73;5
496;4.90435e-15;132;1639;13103;11168;1;473;436;3534;199;62;1730;844;137;886;78;73;5
497;4.94769e-15;138;1663;13181;11246;1;475;412;3534;213;64;1801;820;149;981;78;72;5
498;4.99986e-15;129;1705;13251;11311;1;478;416;3535;184;59;1795;838;125;957;77;72;5
499;5.04347e-15;109;1641;13356;11393;1;469;422;3535;191;64;1866;867;127;999;77;72;5
500;5.09868e-15;119;1656;13426;11458;1;475;454;3535;225;54;1774;801;171;973;77;72;5
501;5.14258e-15;129;1648;13493;11512;1;480;423;3536;242;58;1834;841;184;993;76;72;5
502;5.17915e-15;132;1695;13547;11583;1;495;428;3536;203;81;1797;801;122;996;76;72;5
503;5.22736e-15;138;1654;13613;11649;1;504;443;3536;225;60;1693;846;165;847;75;72;5
504;5.27231e-15;128;1651;13688;11719;1;511;449;3537;209;69;1804;867;140;937;75;72;5
505;5.32012e-15;134;1637;13750;11787;1;531;437;3537;252;78;1773;815;174;958;75;72;5
506;5.36671e-15;148;1703;13826;11836;1;540;463;3537;238;64;1746;828;174;918;74;71;5
507;5.40037e-15;128;1682;13915;11891;1;542;445;3537;275;79;1769;884;196;885;75;71;5
508;5.43822e-15;136;1725;14018;11949;1;533;462;3538;204;76;1829;829;128;1000;75;71;5
509;5.47824e-15;147;1701;14055;12017;1;561;395;3538;232;60;1790;836;172;954;74;71;5
510;5.52529e-15;126;1727;14167;12086;1;546;380;3538;206;72;1712;822;134;890;74;71;5
511;5.57316e-15;97;1721;14230;12159;1;563;369;3539;205;59;1767;866;146;901;73;71;5
512;5.62397e-15;122;1685;14310;12214;1;564;383;3539;167;61;1732;861;106;871;72;71;5
