step;volume;A_0;B_0;C;L;p;Compl;Aext;Bext;A_ingresso;A_uscita;B_ingresso;B_uscita;A_netto;B_netto;Avicino;Amedio;Alontano
0;4.18816e-15;363;350;99;10000;1;1;980;1000;521;131;498;142;390;356;1000;2;0
1;4.18816e-15;351;342;97;10001;1;3;1021;1076;513;136;497;140;377;357;943;2;0
2;4.18879e-15;452;463;96;10001;1;4;1165;1250;508;208;508;208;300;300;909;5;0
3;4.18879e-15;519;562;95;10001;1;5;1090;1220;566;240;605;263;326;342;892;7;0
4;4.18879e-15;536;633;95;10001;1;6;1134;1288;556;252;610;287;304;323;866;7;0
5;4.18879e-15;517;655;93;10001;1;8;1193;1352;520;284;628;309;236;319;842;8;0
6;4.18879e-15;595;662;90;10001;1;11;1313;1514;612;279;660;325;333;335;808;8;0
7;4.18879e-15;696;751;90;10001;1;12;1262;1474;658;286;743;329;372;414;794;8;0
8;4.18879e-15;632;738;91;10001;1;13;1395;1631;619;332;707;375;287;332;763;7;0
9;4.18879e-15;643;794;90;10001;1;17;1421;1686;693;319;831;357;374;474;744;7;0
10;4.18879e-15;687;820;86;10001;1;22;1429;1739;708;336;867;386;372;481;723;7;0
11;4.18879e-15;695;801;84;10001;1;24;1473;1789;721;348;906;408;373;498;701;7;0
12;4.18879e-15;701;865;81;10001;1;27;1494;1838;733;378;899;416;355;483;680;6;0
13;4.18879e-15;753;946;83;10002;1;27;1413;1784;766;338;927;475;428;452;671;6;0
14;4.18942e-15;693;916;88;10002;1;25;1437;1829;693;359;887;445;334;442;653;6;0
15;4.18942e-15;693;889;89;10003;1;25;1564;1972;678;350;947;438;328;509;626;6;0
16;4.19005e-15;697;987;92;10003;1;26;1564;2014;765;365;1001;461;400;540;611;6;0
17;4.19005e-15;737;978;95;10005;1;27;1500;1954;802;391;967;477;411;490;602;6;0
18;4.19131e-15;742;1008;97;10007;1;28;1519;1992;721;375;996;493;346;503;588;6;0
19;4.19258e-15;750;994;102;10007;1;27;1636;2129;726;374;991;538;352;453;568;6;0
20;4.19258e-15;795;1059;105;10009;1;28;1650;2165;803;378;1066;521;425;545;555;6;0
21;4.19384e-15;824;1069;112;10010;1;27;1642;2199;853;398;1116;551;455;565;540;6;0
22;4.19447e-15;847;1127;118;10011;1;26;1674;2232;844;415;1105;575;429;530;528;6;0
23;4.1951e-15;867;1121;113;10011;1;31;1688;2264;796;423;1046;575;373;471;515;6;0
24;4.1951e-15;821;1146;113;10011;1;34;1700;2294;842;421;1132;561;421;571;503;6;0
25;4.1951e-15;818;1131;113;10013;1;37;1708;2324;854;405;1132;597;449;535;492;6;0
26;4.19637e-15;864;1132;133;10013;1;28;1715;2352;882;411;1186;550;471;636;480;6;0
27;4.19637e-15;856;1179;134;10013;1;30;1721;2380;892;439;1148;596;453;552;470;7;0
28;4.19637e-15;911;1183;128;10013;1;38;1703;2406;845;412;1181;617;433;564;461;7;0
29;4.19637e-15;885;1196;138;10014;1;35;1711;2432;872;476;1199;600;396;599;453;7;0
30;4.197e-15;896;1187;148;10016;1;34;1743;2456;819;434;1208;612;385;596;443;7;0
31;4.19826e-15;853;1201;147;10016;1;38;1752;2480;832;487;1235;612;345;623;432;8;0
32;4.19826e-15;871;1263;154;10017;1;38;1740;2503;873;406;1243;586;467;657;423;8;0
33;4.1989e-15;905;1226;151;10020;1;45;1767;2525;869;417;1287;597;452;690;413;8;0
34;4.20079e-15;907;1303;163;10020;1;41;1773;2547;923;464;1238;578;459;660;404;9;0
35;4.20079e-15;837;1305;164;10020;1;46;1779;2567;836;472;1202;684;364;518;396;9;0
36;4.20079e-15;850;1311;153;10022;1;59;1761;2587;916;456;1280;659;460;621;388;9;0
37;4.20206e-15;873;1292;155;10023;1;62;1765;2607;913;453;1285;662;460;623;380;10;0
38;4.20269e-15;890;1319;179;10025;1;51;1770;2626;862;439;1223;653;423;570;373;10;0
39;4.20395e-15;915;1306;191;10027;1;52;1775;2644;864;458;1295;654;406;641;367;10;0
40;4.20522e-15;864;1274;213;10031;1;47;1774;2661;938;432;1319;686;506;633;360;11;0
41;4.20775e-15;888;1409;216;10031;1;52;1782;2678;850;457;1376;640;393;736;353;11;0
42;4.20775e-15;917;1370;231;10031;1;53;1785;2695;902;409;1360;695;493;665;345;12;0
43;4.20775e-15;936;1376;234;10031;1;56;1787;2711;904;457;1326;675;447;651;339;12;0
44;4.20775e-15;890;1382;235;10036;1;60;1793;2726;865;450;1381;682;415;699;333;12;0
45;4.21091e-15;899;1326;239;10037;1;63;1794;2741;887;427;1401;672;460;729;327;13;0
46;4.21154e-15;856;1317;236;10039;1;74;1817;2755;952;459;1353;673;493;680;321;14;0
47;4.21281e-15;896;1362;241;10041;1;76;1822;2769;904;464;1419;655;440;764;315;14;0
48;4.21407e-15;951;1408;252;10041;1;77;1800;2783;943;474;1480;644;469;836;310;15;0
49;4.21407e-15;933;1290;262;10044;1;78;1801;2796;943;420;1391;690;523;701;305;15;0
50;4.21597e-15;918;1321;262;10047;1;86;1830;2809;833;468;1395;680;365;715;299;16;0
51;4.21787e-15;906;1381;286;10051;1;79;1808;2821;884;432;1395;660;452;735;295;16;0
52;4.2204e-15;898;1431;293;10054;1;83;1811;2833;886;470;1443;668;416;775;291;17;0
53;4.2223e-15;929;1405;292;10056;1;96;1833;2845;930;429;1448;682;501;766;286;17;0
54;4.22357e-15;870;1374;305;10057;1;97;1833;2856;913;430;1361;698;483;663;281;17;0
55;4.2242e-15;859;1412;334;10060;1;92;1813;2868;950;470;1414;730;480;684;277;18;0
56;4.2261e-15;892;1423;354;10063;1;91;1809;2878;954;434;1457;722;520;735;274;18;0
57;4.228e-15;886;1495;364;10063;1;95;1813;2889;844;474;1463;673;370;790;270;19;0
58;4.228e-15;871;1493;383;10067;1;95;1814;2899;960;481;1489;709;479;780;267;19;0
59;4.23053e-15;893;1500;394;10070;1;99;1834;2909;936;410;1461;730;526;731;265;20;0
60;4.23244e-15;890;1500;412;10073;1;100;1812;2918;895;416;1526;722;479;804;260;20;0
61;4.23434e-15;861;1490;425;10079;1;104;1836;2928;877;434;1388;760;443;628;256;21;0
62;4.23814e-15;846;1530;445;10084;1;106;1834;2937;956;454;1496;735;502;761;251;21;0
63;4.24131e-15;892;1567;458;10086;1;109;1807;2945;934;407;1430;753;527;677;247;22;0
64;4.24258e-15;866;1512;468;10086;1;115;1831;2954;898;420;1490;770;478;720;244;22;0
65;4.24258e-15;864;1472;480;10090;1;124;1805;2962;926;456;1448;755;470;693;242;23;0
66;4.24511e-15;879;1450;494;10091;1;131;1829;2971;872;427;1481;747;445;734;239;24;0
67;4.24575e-15;869;1457;521;10096;1;130;1728;2879;918;459;1524;744;459;780;238;24;0
68;4.24892e-15;807;1423;544;10104;1;130;1835;2986;822;460;1452;710;362;742;232;25;0
69;4.254e-15;824;1488;565;10108;1;136;1808;2994;867;442;1516;682;425;834;230;26;0
70;4.25654e-15;857;1460;577;10109;1;149;1834;3001;851;434;1515;776;417;739;226;26;0
71;4.25717e-15;825;1513;612;10115;1;147;1832;3008;931;431;1485;746;500;739;223;26;0
72;4.26098e-15;897;1503;639;10122;1;150;1808;3015;903;426;1526;737;477;789;221;27;0
73;4.26543e-15;884;1439;659;10127;1;155;1710;2922;881;446;1544;736;435;808;221;28;0
74;4.26861e-15;863;1448;673;10138;1;167;1836;3029;832;410;1523;775;422;748;217;29;0
75;4.2756e-15;809;1498;690;10143;1;177;1815;3035;928;475;1526;721;453;805;213;29;0
76;4.27878e-15;882;1497;714;10146;1;185;1839;3042;872;408;1593;756;464;837;211;30;0
77;4.28069e-15;914;1496;738;10148;1;188;1805;3048;953;419;1494;739;534;755;208;31;0
78;4.28196e-15;889;1518;765;10154;1;194;1801;3054;932;434;1562;721;498;841;206;31;0
79;4.28577e-15;888;1504;800;10157;1;192;1805;3060;865;439;1570;777;426;793;204;31;0
80;4.28768e-15;872;1511;820;10160;1;201;1831;3066;874;436;1564;747;438;817;202;32;0
81;4.28959e-15;920;1497;858;10170;1;206;1809;3071;913;443;1624;751;470;873;199;33;0
82;4.29596e-15;897;1516;894;10178;1;207;1830;3077;976;461;1675;745;515;930;197;34;0
83;4.30106e-15;900;1486;911;10183;1;223;1827;3082;946;418;1581;816;528;765;195;35;0
84;4.30424e-15;860;1528;955;10192;1;225;1805;3088;892;444;1544;747;448;797;194;35;0
85;4.30998e-15;861;1473;1010;10201;1;221;1804;3093;940;430;1567;800;510;767;191;36;0
86;4.31572e-15;896;1537;1052;10203;1;222;1803;3098;948;426;1531;731;522;800;189;36;0
87;4.31699e-15;861;1495;1085;10207;1;236;1728;3003;874;434;1578;781;440;797;190;37;0
88;4.31954e-15;827;1427;1106;10213;1;248;1830;3108;893;428;1454;735;465;719;186;37;0
89;4.32337e-15;902;1491;1132;10219;1;260;1831;3112;885;368;1581;727;517;854;185;38;0
90;4.3272e-15;831;1510;1173;10227;1;270;1804;3117;908;433;1576;780;475;796;183;39;0
91;4.33231e-15;823;1495;1211;10234;1;276;1831;3122;852;426;1564;776;426;788;182;40;0
92;4.33678e-15;798;1492;1255;10240;1;283;1806;3126;930;425;1589;746;505;843;181;40;0
93;4.34062e-15;817;1508;1294;10249;1;291;1806;3130;945;413;1634;769;532;865;181;41;0
94;4.34637e-15;851;1526;1315;10255;1;315;1827;3135;909;378;1614;757;531;857;179;41;0
95;4.3502e-15;819;1570;1368;10262;1;317;1826;3139;956;439;1569;756;517;813;177;42;0
96;4.35468e-15;846;1493;1367;10269;1;357;1699;3043;927;417;1554;770;510;784;178;43;0
97;4.35916e-15;779;1443;1413;10273;1;367;1823;3147;850;389;1530;718;461;812;174;43;0
98;4.36172e-15;840;1464;1465;10277;1;375;1798;3151;935;388;1589;748;547;841;173;43;0
99;4.36428e-15;835;1492;1511;10289;1;391;1796;3155;876;403;1540;734;473;806;172;44;0
100;4.37197e-15;827;1527;1596;10300;1;377;1720;3059;885;404;1605;735;481;870;173;44;0
101;4.37901e-15;787;1542;1625;10310;1;406;1796;3162;848;402;1491;747;446;744;168;45;0
102;4.38543e-15;834;1517;1699;10314;1;408;1695;3066;886;383;1617;757;503;860;169;45;0
103;4.38799e-15;787;1493;1752;10325;1;422;1723;3070;810;406;1537;765;404;772;168;47;0
104;4.39505e-15;769;1407;1796;10335;1;453;1800;3173;886;385;1579;759;501;820;165;46;0
105;4.40147e-15;799;1400;1855;10344;1;470;1819;3177;923;361;1599;763;562;836;164;47;0
106;4.40725e-15;795;1502;1938;10355;1;469;1794;3180;918;403;1584;738;515;846;163;48;0
107;4.41431e-15;840;1536;2002;10366;1;486;1817;3184;869;387;1587;721;482;866;162;49;0
108;4.42138e-15;913;1495;2051;10374;1;519;1790;3187;896;402;1562;758;494;804;161;49;0
109;4.42653e-15;798;1443;2132;10388;1;536;1816;3190;885;439;1645;771;446;874;161;50;0
110;4.43554e-15;794;1465;2219;10397;1;541;1788;3193;912;407;1587;740;505;847;159;51;0
111;4.44133e-15;822;1432;2311;10412;1;544;1810;3196;891;381;1562;728;510;834;159;51;0
112;4.451e-15;766;1505;2364;10427;1;575;1788;3199;905;437;1569;750;468;819;158;52;0
113;4.46067e-15;734;1436;2469;10447;1;569;1809;3203;926;387;1596;731;539;865;157;53;0
114;4.47357e-15;773;1542;2553;10464;1;580;1804;3206;904;372;1614;726;532;888;157;53;0
115;4.48455e-15;782;1505;2624;10475;1;600;1775;3208;878;377;1534;791;501;743;156;54;0
116;4.49166e-15;762;1443;2675;10504;1;636;1773;3211;863;409;1608;791;454;817;155;54;0
117;4.51042e-15;814;1483;2751;10522;1;646;1797;3214;884;389;1569;756;495;813;154;55;0
118;4.52207e-15;764;1455;2866;10538;1;640;1792;3217;916;369;1667;747;547;920;153;55;0
119;4.53244e-15;767;1423;2971;10553;1;653;1794;3220;862;395;1555;694;467;861;152;56;0
120;4.54217e-15;709;1506;3052;10571;1;676;1796;3222;840;411;1574;744;429;830;151;56;0
121;4.55386e-15;787;1532;3144;10586;1;683;1792;3225;925;360;1624;741;565;883;150;57;0
122;4.5636e-15;792;1511;3210;10598;1;728;1791;3228;896;372;1591;746;524;845;150;58;0
123;4.5714e-15;731;1473;3305;10613;1;757;1769;3230;875;436;1641;747;439;894;150;58;0
124;4.58116e-15;747;1460;3416;10628;1;768;1791;3233;906;358;1672;743;548;929;149;59;0
125;4.59092e-15;739;1443;3569;10649;1;761;1660;3135;884;338;1648;718;546;930;150;60;0
126;4.6046e-15;716;1460;3644;10669;1;798;1784;3238;869;363;1533;716;506;817;148;61;0
127;4.61764e-15;712;1465;3714;10686;1;834;1759;3240;924;350;1622;720;574;902;146;60;0
128;4.62874e-15;690;1548;3857;10695;1;833;1757;3243;878;382;1672;737;496;935;145;61;0
129;4.63462e-15;691;1539;3971;10721;1;851;1750;3245;944;342;1652;730;602;922;144;61;0
130;4.65161e-15;708;1526;4089;10744;1;866;1751;3248;869;364;1562;756;505;806;143;62;0
131;4.66666e-15;677;1532;4237;10771;1;867;1751;3250;830;388;1704;759;442;945;142;62;0
132;4.68435e-15;676;1493;4378;10797;1;863;1754;3252;862;368;1624;754;494;870;141;62;0
133;4.70141e-15;707;1442;4553;10814;1;851;1781;3254;823;374;1649;761;449;888;141;63;0
134;4.71257e-15;695;1482;4629;10842;1;906;1744;3257;973;364;1610;751;609;859;140;63;0
135;4.73097e-15;735;1507;4747;10868;1;932;1745;3259;814;358;1618;767;456;851;140;64;0
136;4.74809e-15;683;1530;4838;10898;1;983;1741;3261;910;373;1745;729;537;1016;139;64;0
137;4.76786e-15;643;1497;5025;10928;1;977;1738;3263;854;352;1645;753;502;892;139;64;0
138;4.78765e-15;686;1435;5147;10949;1;1006;1764;3265;834;349;1599;788;485;811;139;64;0
139;4.80153e-15;702;1507;5304;10976;1;1016;1759;3267;863;365;1626;691;498;935;140;64;0
140;4.81939e-15;708;1504;5422;11002;1;1057;1730;3269;889;372;1691;748;517;943;139;65;0
141;4.8366e-15;684;1400;5549;11034;1;1096;1725;3271;869;337;1651;736;532;915;138;66;0
